YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SN02,SN03,SN52,SN53,SNOW,SNWD,SX02,SX03,SX52,SX53,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV07,WV20
1942,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,40.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,28.580000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,23.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,33.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,40.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,31.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,55.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,50.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,58.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,45.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,51.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,44.239999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,42.620000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,71.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,64.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,64.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,74.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,84.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,83.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,74.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,83.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,49.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,211.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,-147.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,1831.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,14.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1,1,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,32.0,15.979999999999997,,,,,,,,,,,,,-9999.0,,,-9999.0,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,,
1948,1,3,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,42.980000000000004,26.96,,,,,,,,,,,,,999.0,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,
1948,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,,,,,
1948,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,
1948,1,6,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,48.92,28.94,,,,,,,,,,,,,9999.0,,,9999.0,,,,1.0,,,,,,,1.0,,9999.0,,,,,
1948,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,,,,,,,,,,,,,-99.0,,,,,
1948,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,,,,,,,,,,,,,99.0,,,,,
1948,1,9,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,55.04,32.0,,,,,,,,,,,,,-9999.0,,,-9999.0,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,-9.0,,,,,,,,,,,-9.0,,-9.0,,,,,
1948,1,11,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,55.04,33.08,,,,,,,,,,,,,999.0,,,999.0,,,,1.0,,,,,,,999.0,,999.0,,,,,
1948,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,-999.0,,,,,,,,,,,,,-999.0,,,,,
1948,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
1948,1,14,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,44.96,28.04,,,,,,,,,,,,,1.0,,,9999.0,,,,1.0,,,,,,,9999.0,,9999.0,,,,,
1948,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,-99.0,,,,,
1948,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,99.0,,,,,
1948,1,17,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,44.06,26.060000000000002,,,,,,,,,,,,,-9999.0,,,-9999.0,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,-9.0,,,,,,,,,,,-9.0,,,,,,,
1948,1,19,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,35.96,23.0,,,,,,,,,,,,,999.0,,,999.0,,,,1.0,,,,,,,999.0,,1.0,,,,,
1948,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,-999.0,,,,,,,,,,,-999.0,,,,,,,
1948,1,22,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,37.94,17.96,,,,,,,,,,,,,9999.0,,,9999.0,,,,1.0,,,,,,,9999.0,,9999.0,,,,,
1948,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,,,,,,,,,,,-99.0,,-99.0,,,,,
1948,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,99.0,,,,,,,,,,,99.0,,99.0,,,,,
1948,1,25,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,37.94,17.96,,,,,,,,,,,,,-9999.0,,,-9999.0,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,-9.0,,,,,,,,,,,-9.0,,-9.0,,,,,
1948,1,27,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,42.08,19.939999999999998,,,,,,,,,,,,,999.0,,,999.0,,,,1.0,,,,,,,999.0,,999.0,,,,,
1948,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,-999.0,,,,,,,,,,,-999.0,,,,,,,
1948,1,30,,,,,,,,,,,0.0,,,,,,,,,0.0,76.0,,,,,,,32.0,3.919999999999998,,,,,,,,,,,,,9999.0,,,9999.0,,,,1.0,,,,,,,9999.0,,9999.0,,,,,
1948,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,-99.0,,,,,,,,,,,-99.0,,-99.0,,,,,
1948,2,1,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,48.92,24.98,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,,,,,,
1948,2,3,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,50.0,32.0,,,,,,,,,,,,,999.0,,999.0,,,,,999.0,,,,,,,1.0,,1.0,,,,,
1948,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,,,,,,,,,
1948,2,6,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,39.92,15.979999999999997,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,,9999.0,,9999.0,,,,,
1948,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,,-99.0,,,,,,,
1948,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,,99.0,,,,,,,
1948,2,9,,,,,,,,,,,41.0,,,,,,,,,69.0,51.0,,,,,,,35.06,23.0,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,,-9999.0,,1.0,,,,,
1948,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,,,,,,,,,-9.0,,,,,,,
1948,2,11,,,,,,,,,,,3.0,,,,,,,,,5.0,51.0,,,,,,,30.02,51.08,,,,,,,,,,,,,999.0,,999.0,,,,,1.0,,,,,,,999.0,,1.0,,,,,
1948,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,,,,,,,,-999.0,,,,,,,
1948,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,
1948,2,14,,,,,,,,,,,28.0,,,,,,,,,71.0,,,,,,,,44.96,24.08,,,,,,,,,,,,,9999.0,,9999.0,,,,,1.0,,,,,,,9999.0,,1.0,,,,,
1948,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,,,,,,,,-99.0,,,,,,,
1948,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,,99.0,,,,,,,
1948,2,17,,,,,,,,,,,0.0,,,,,,,,,0.0,25.0,,,,,,,26.060000000000002,14.0,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,,,,,,,,,-9.0,,-9.0,,,,,
1948,2,19,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,28.94,60.980000000000004,,,,,,,,,,,,,999.0,,999.0,,,,,1.0,,,,,,,999.0,,999.0,,,,,
1948,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,,,,,,,,-999.0,,-999.0,,,,,
1948,2,22,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,46.94,24.08,,,,,,,,,,,,,9999.0,,9999.0,,,,,1.0,,,,,,,9999.0,,9999.0,,,,,
1948,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,,,,,,,,,,-99.0,,,,,
1948,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,,,,,,,,,,99.0,,,,,
1948,2,25,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,57.92,33.98,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,-9.0,,,,,
1948,2,27,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,57.02,33.98,,,,,,,,,,,,,999.0,,999.0,,,,,999.0,,,,,,,1.0,,999.0,,,,,
1948,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,,,,-999.0,,,,,
1948,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
1948,2,30,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,51.08,30.02,,,,,,,,,,,,,9999.0,,9999.0,,,,,1.0,,,,,,,9999.0,,9999.0,,,,,
1948,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,,,,,,,,-99.0,,,,,,,
1948,3,1,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,39.92,21.02,,,,,,,,,,,,,-9999.0,,,,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,-9.0,,,,,,,
1948,3,3,,,,,,,,,,,30.0,,,,,,,,,61.0,,,,,,,,39.92,19.939999999999998,,,,,,,,,,,,,999.0,,,,,,,1.0,,,,,,,999.0,,1.0,,,,,
1948,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,-999.0,,,,,,,
1948,3,6,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,33.98,15.979999999999997,,,,,,,,,,,,,9999.0,,,,,,,1.0,,,,,,,9999.0,,9999.0,,,,,
1948,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,-99.0,,-99.0,,,,,
1948,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,99.0,,99.0,,,,,
1948,3,9,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,42.980000000000004,21.92,,,,,,,,,,,,,-9999.0,,,,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,-9.0,,,,,,,
1948,3,11,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,44.96,24.08,,,,,,,,,,,,,999.0,,,,,,,1.0,,,,,,,999.0,,1.0,,,,,
1948,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,-999.0,,,,,,,
1948,3,14,,,,,,,,,,,79.0,,,,,,,,,122.0,25.0,,,,,,,39.92,28.04,,,,,,,,,,,,,9999.0,,,,,,,9999.0,,,,,,,9999.0,,1.0,,,,,
1948,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,-99.0,,,,,,,
1948,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,99.0,,,,,,,
1948,3,17,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,35.96,14.0,,,,,,,,,,,,,-9999.0,,,,,,,1.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,-9.0,,-9.0,,,,,
1948,3,19,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,46.94,19.04,,,,,,,,,,,,,999.0,,,,,,,1.0,,,,,,,999.0,,999.0,,,,,
1948,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,-999.0,,,,,
1948,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,
1948,3,22,,,,,,,,,,,53.0,,,,,,,,,,0.0,,,,,,,44.96,33.08,,,,,,,,,,,,,9999.0,,,,,,,9999.0,,,,,,,1.0,,1.0,,,,,
1948,3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,,,
1948,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,99.0,,,,,,,
1948,3,25,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,44.06,28.04,,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,,1.0,,1.0,,,,,
1948,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,-9.0,,,,,,,,,,,,,,
1948,3,27,,,,,,,,,,,20.0,,,,,,,,,,0.0,,,,,,,48.02,33.08,,,,,,,,,,,,,999.0,,,,,,,999.0,,,,,,,1.0,,1.0,,,,,
1948,3,30,,,,,,,,,,,124.0,,,,,,,,,109.0,25.0,,,,,,,44.06,28.04,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,
1948,4,1,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,60.08,35.06,,,,,,,,,,,,,-9999.0,,-9999.0,,-9999.0,,,-9999.0,,,,,,,-9999.0,,-9999.0,,,,,
1948,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,-9.0,,,-9.0,,,,,,,,,-9.0,,,,,
1948,4,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,66.02,39.92,,,,,,,,,,,,,999.0,,999.0,,999.0,,,999.0,,,,,,,1.0,,999.0,,,,,
1948,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,-999.0,,,-999.0,,,,,,,,,,,,,,
1948,4,6,,,,,,,,,,,43.0,,,,,,,,,10.0,0.0,,,,,,,53.06,32.0,,,,,,,,,,,,,9999.0,,9999.0,,9999.0,,,9999.0,,,,,,,1.0,,1.0,,,,,
1948,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,-99.0,,,-99.0,,,,,,,,,,,,,,
1948,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,99.0,,,99.0,,,,,,,99.0,,99.0,,,,,
1948,4,9,,,,,,,,,,,84.0,,,,,,,,,38.0,0.0,,,,,,,44.06,32.0,,,,,,,,,,,,,-9999.0,,-9999.0,,-9999.0,,,-9999.0,,,,,,,1.0,,1.0,,,,,
1948,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,-9.0,,,-9.0,,,,,,,,,,,,,,
1948,4,11,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,51.08,26.060000000000002,,,,,,,,,,,,,999.0,,999.0,,999.0,,,999.0,,,,,,,999.0,,1.0,,,,,
1948,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,-999.0,,,-999.0,,,,,,,-999.0,,,,,,,
1948,4,14,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,66.02,42.980000000000004,,,,,,,,,,,,,9999.0,,9999.0,,9999.0,,,9999.0,,,,,,,9999.0,,9999.0,,,,,
1948,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,-99.0,,,,,,,,,,,,,,
